#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Experimental role(s) interactor A	Experimental role(s) interactor B	Biological role(s) interactor A	Biological role(s) interactor B	Properties interactor A	Properties interactor B	Type(s) interactor A	Type(s) interactor B	HostOrganism(s)	Expansion method(s)	Dataset name(s)	Annotation(s) interactor A	Annotation(s) interactor B	Parameter(s) interactor A	Parameter(s) interactor B	Parameter(s) interaction
uniprotkb:P0AE18	uniprotkb:P42593	-	-	-	-	-	He XY	pubmed:9346310	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > FADH_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P45578	-	-	-	-	-	Link AJ	pubmed:9298646	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > LUXS_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P46859	-	-	-	-	-	Tong S	pubmed:8655507	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > GNTK_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P50465	-	-	-	-	-	Jiang D	pubmed:9171429	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > END8_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P55135	-	-	-	-	-	Agarwalla S	pubmed:11779873	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > RUMA_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P60240	-	-	-	-	-	Muzzin O	pubmed:9614128	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > RAPA_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P60422	-	-	-	-	-	-	-	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > RL2_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P60624	-	-	-	-	-	Wittmann-Liebold B	pubmed:391595	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > RL24_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P61949	-	-	-	-	-	Jenkins CM	pubmed:7961651	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > FLAV_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P62399	-	-	-	-	-	Chen R	pubmed:791672	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > RL5_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
